Fecha,Tarde/Noche,Centena,Fijo,1er Corrido,2do Corrido
19-05-2008,T,1,00,69,69
19-05-2008,N,8,17,19,05
20-05-2008,T,9,24,57,05
20-05-2008,N,8,64,62,38
21-05-2008,T,2,69,32,48
21-05-2008,N,9,81,15,18
22-05-2008,T,5,25,80,25
22-05-2008,N,6,74,50,71
23-05-2008,T,0,03,14,16
23-05-2008,N,6,90,54,56
24-05-2008,T,8,34,64,06
24-05-2008,N,3,82,10,27
25-05-2008,T,6,19,52,53
25-05-2008,N,0,61,94,00
26-05-2008,T,2,52,21,98
26-05-2008,N,1,59,11,00
27-05-2008,T,0,41,79,93
27-05-2008,N,9,17,91,24
28-05-2008,T,7,79,67,05
28-05-2008,N,5,29,65,26
29-05-2008,T,4,98,18,51
29-05-2008,N,0,49,95,58
30-05-2008,T,9,10,27,83
30-05-2008,N,6,64,71,83
31-05-2008,T,9,52,66,44
31-05-2008,N,9,41,93,11
01-06-2008,T,1,94,21,49
01-06-2008,N,3,84,44,13
02-06-2008,T,8,44,53,27
02-06-2008,N,7,51,86,73
03-06-2008,T,4,33,02,06
03-06-2008,N,0,44,92,97
04-06-2008,T,7,19,08,60
04-06-2008,N,2,49,14,13
05-06-2008,T,0,55,24,71
05-06-2008,N,6,07,85,39
06-06-2008,T,8,92,48,04
06-06-2008,N,6,62,36,07
07-06-2008,T,9,94,12,04
07-06-2008,N,9,90,12,22
08-06-2008,T,6,76,95,28
08-06-2008,N,8,87,57,31
09-06-2008,T,0,86,76,11
09-06-2008,N,8,54,36,79
10-06-2008,T,6,95,27,27
10-06-2008,N,2,85,45,78
11-06-2008,T,0,25,75,81
11-06-2008,N,7,46,33,09
12-06-2008,T,5,41,10,63
12-06-2008,N,8,99,71,26
13-06-2008,T,1,54,68,19
13-06-2008,N,9,61,22,94
14-06-2008,T,1,46,75,43
14-06-2008,N,1,52,60,84
15-06-2008,T,9,62,90,33
15-06-2008,N,0,15,54,34
16-06-2008,T,4,58,87,23
16-06-2008,N,3,22,97,21
17-06-2008,T,9,24,40,43
17-06-2008,N,5,83,38,27
18-06-2008,T,7,12,46,26
18-06-2008,N,7,82,90,71
19-06-2008,T,7,86,82,68
19-06-2008,N,8,03,30,54
20-06-2008,T,3,51,05,81
20-06-2008,N,5,25,59,16
21-06-2008,T,2,85,04,99
21-06-2008,N,7,83,53,10
22-06-2008,T,6,17,63,14
22-06-2008,N,5,67,41,64
23-06-2008,T,1,56,33,82
23-06-2008,N,0,12,63,90
24-06-2008,T,6,14,56,62
24-06-2008,N,2,60,79,73
25-06-2008,T,6,99,97,45
25-06-2008,N,1,75,04,20
26-06-2008,T,1,87,27,34
26-06-2008,N,2,26,79,23
27-06-2008,T,0,10,71,81
27-06-2008,N,8,70,94,63
28-06-2008,T,8,29,98,79
28-06-2008,N,9,27,75,12
29-06-2008,T,3,65,15,35
29-06-2008,N,7,02,87,49
30-06-2008,T,9,48,07,97
30-06-2008,N,1,97,26,14
01-07-2008,T,9,16,49,93
01-07-2008,N,5,27,84,82
02-07-2008,T,2,25,28,27
02-07-2008,N,6,08,53,99
03-07-2008,T,0,92,36,51
03-07-2008,N,4,60,20,45
04-07-2008,T,4,19,18,91
04-07-2008,N,1,02,71,01
05-07-2008,T,5,87,00,16
05-07-2008,N,8,10,91,60
06-07-2008,T,9,60,95,70
06-07-2008,N,4,55,01,44
07-07-2008,T,9,20,68,15
07-07-2008,N,7,07,83,63
08-07-2008,T,6,58,75,95
08-07-2008,N,5,63,74,60
09-07-2008,T,5,30,02,92
09-07-2008,N,1,95,54,50
10-07-2008,T,4,01,56,67
10-07-2008,N,4,31,41,29
11-07-2008,T,9,77,30,86
11-07-2008,N,3,30,66,63
12-07-2008,T,9,67,82,72
12-07-2008,N,5,00,30,95
